Wavelength (nm),P-Polarized,S-Polarized
550,21.33489227,13.80400181
551,21.03572273,13.70147324
552,20.77051163,13.60546017
553,20.51266098,13.52264881
554,20.27399635,13.4335947
555,20.06574631,13.38773346
556,19.86942291,13.3300333
557,19.68515587,13.28031445
558,19.5284462,13.24317646
559,19.37804604,13.20823097
560,19.24234581,13.17444324
561,19.13804054,13.17669868
562,19.0356102,13.16838837
563,18.95909882,13.1788168
564,18.88230324,13.1926403
565,18.81348419,13.19400024
566,18.77838516,13.23232174
567,18.74257851,13.27052593
568,18.71724701,13.28571415
569,18.71428108,13.35303783
570,18.71462822,13.40748024
571,18.73227882,13.45195198
572,18.76115036,13.5482235
573,18.80128098,13.61431789
574,18.8488121,13.69208241
575,18.91740227,13.79926968
576,19.00239944,13.89257908
577,19.08664513,13.99299622
578,19.18305779,14.10935974
579,19.28676987,14.20930767
580,19.40708351,14.34641361
581,19.53362465,14.48647976
582,19.67201805,14.63902283
583,19.811203,14.77277279
584,19.96918106,14.91422844
585,20.13913536,15.08993053
586,20.31242371,15.26710701
587,20.50022697,15.43435574
588,20.69427872,15.6198616
589,20.90185165,15.80574226
590,21.11764336,16.00941658
591,21.33889198,16.20967484
592,21.57431221,16.42168999
593,21.81576538,16.64213562
594,22.06851006,16.89029694
595,22.32975197,17.09630394
596,22.60991096,17.36026764
597,22.88672638,17.59805679
598,23.18347359,17.88572121
599,23.48069,18.13758659
600,23.79511833,18.40799332
601,24.12643051,18.70404434
602,24.45959091,18.99537468
603,24.80632591,19.28916168
604,25.1536274,19.58844376
605,25.51219177,19.91227341
606,25.8928566,20.24079514
607,26.26849365,20.5551548
608,26.6630497,20.90684891
609,27.05966759,21.25348282
610,27.46686363,21.6049366
611,27.88340759,21.9604702
612,28.31096649,22.34575653
613,28.74209595,22.71558952
614,29.18469238,23.08905792
615,29.6315136,23.50310516
616,30.07894516,23.8687458
617,30.54646301,24.29246521
618,31.01661873,24.69495773
619,31.48394775,25.12975693
620,31.96080971,25.54039001
621,32.45152664,25.97881889
622,32.94146347,26.4113903
623,33.42795181,26.83746719
624,33.92225647,27.29104233
625,34.43521118,27.75815392
626,34.93465042,28.19874573
627,35.43666077,28.65210724
628,35.94675446,29.13300133
629,36.45387268,29.59065437
630,36.96142578,30.07975769
631,37.47072601,30.54175949
632,37.97679138,31.0034008
633,38.49107742,31.47451019
634,38.99241638,31.94944
635,39.49483871,32.43056107
636,39.99812317,32.90697479
637,40.49314117,33.38280106
638,40.98179626,33.85768127
639,41.47535706,34.33943558
640,41.961689,34.79523468
641,42.44545746,35.27812576
642,42.91712189,35.74674606
643,43.38562012,36.20981598
644,43.84989548,36.6729393
645,44.29489517,37.1179657
646,44.74253082,37.57082748
647,45.18443298,38.03003311
648,45.60990143,38.45891953
649,46.03029633,38.89986801
650,46.44455719,39.32468796
651,46.84477997,39.74944305
652,47.23266983,40.15248489
653,47.6153717,40.57317734
654,47.9840126,40.96642303
655,48.34503937,41.37147522
656,48.68619919,41.75336456
657,49.03744125,42.10855484
658,49.35074997,42.48126602
659,49.65831757,42.84629822
660,49.97111511,43.16884613
661,50.26007843,43.50358963
662,50.53361511,43.8547287
663,50.80368423,44.1782608
664,51.0617485,44.4946022
665,51.30246353,44.79436493
666,51.54148483,45.09724808
667,51.76221848,45.36644745
668,51.97644043,45.64100647
669,52.1777916,45.9139061
670,52.37309265,46.17780304
671,52.54870605,46.41577911
672,52.72218704,46.66268921
673,52.87743378,46.88424683
674,53.03050232,47.10650635
675,53.17147446,47.32476425
676,53.31061935,47.5136528
677,53.43123245,47.72732162
678,53.53834534,47.89556122
679,53.64118195,48.07880402
680,53.74394608,48.2585144
681,53.82995605,48.39418411
682,53.9083786,48.58399582
683,53.98968506,48.7383728
684,54.06203842,48.88205719
685,54.12121582,49.02320099
686,54.18161774,49.15532303
687,54.2281456,49.27706146
688,54.27554321,49.39206696
689,54.31522751,49.50391388
690,54.35129929,49.62232971
691,54.38638306,49.71791077
692,54.41027451,49.83043289
693,54.44429016,49.95233536
694,54.45213318,50.01517487
695,54.47400665,50.10830307
696,54.47610474,50.19651031
697,54.48287201,50.27959824
698,54.49301147,50.35239029
699,54.49866104,50.4394989
700,54.49747467,50.50053024
701,54.49955368,50.56472397
702,54.50093842,50.64632416
703,54.49743271,50.72548294
704,54.4901619,50.77753067
705,54.48962402,50.85287857
706,54.48233032,50.8952446
707,54.46417999,50.96913528
708,54.46283722,51.01602554
709,54.45313263,51.05910873
710,54.43859863,51.11956024
711,54.42348099,51.16897964
712,54.41452789,51.20972824
713,54.41347504,51.30311966
714,54.38696671,51.33841705
715,54.38431931,51.38074875
716,54.3681221,51.42499161
717,54.34512329,51.47901154
718,54.34201813,51.53084564
719,54.33098602,51.54357147
720,54.31124496,51.58249664
721,54.28549194,51.62419128
722,54.27526093,51.66835022
723,54.29084778,51.70769119
724,54.26545715,51.75382996
725,54.22751236,51.79428864
726,54.24752045,51.83414841
727,54.22358704,51.88275146
728,54.21061707,51.9228096
729,54.19519043,51.9580307
730,54.20758057,51.99118423
731,54.19433212,52.03408432
732,54.15276718,52.07564926
733,54.18425369,52.12299347
734,54.16550446,52.14998627
735,54.1396637,52.19219971
736,54.13615799,52.2233963
737,54.12184143,52.26922607
738,54.10415649,52.30343246
739,54.09363556,52.33631897
740,54.08224487,52.37042236
741,54.08898163,52.40369415
742,54.09869385,52.42536163
743,54.05827332,52.46945572
744,54.07264328,52.50722122
745,54.05734634,52.53977203
746,54.03111649,52.56645584
747,54.03829193,52.59420395
748,54.02363586,52.62327194
749,54.00349045,52.65424347
750,54.02143097,52.68284607
751,54.01862335,52.71173096
752,54.01887131,52.73419571
753,54.02672958,52.76950073
754,54.00895309,52.79227448
755,54.01659775,52.81457138
756,53.98229218,52.84008789
757,53.96779633,52.86903381
758,53.94752121,52.88411331
759,53.94645309,52.91537094
760,53.94517899,52.94330215
761,53.92818451,52.96395493
762,53.91021347,52.97785568
763,53.906353,53.00814438
764,53.89826965,53.0277977
765,53.88581848,53.05298996
766,53.89471054,53.07957077
767,53.88839722,53.08740616
768,53.85404968,53.11347961
769,53.8367691,53.12937927
770,53.82645798,53.14940262
771,53.81485748,53.16529083
772,53.82126617,53.18784714
773,53.7970047,53.19902802
774,53.78476334,53.2129097
775,53.76850891,53.22452927
776,53.75691223,53.24118042
777,53.74153137,53.25236893
778,53.71660614,53.27053833
779,53.719944,53.27715302
780,53.69247055,53.28157425
781,53.6749649,53.29291153
782,53.6496048,53.30252075
783,53.63594437,53.31401825
784,53.60377884,53.31082916
785,53.59602737,53.31624222
786,53.56892776,53.32592773
787,53.55614853,53.3241806
788,53.52902222,53.32293701
789,53.49627304,53.32883453
790,53.48587036,53.33198929
791,53.47203064,53.32741165
792,53.42848206,53.32642365
793,53.41448975,53.32683945
794,53.39298248,53.31277847
795,53.38912201,53.31669998
796,53.35115051,53.30750275
797,53.34212875,53.30196762
798,53.29640961,53.2976799
799,53.25695419,53.29935074
800,53.23896408,53.27722549
